# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-09-25 14:00:35 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50023110 LAGO VIVI NR UTUADO, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50023110
#            TS   parameter     Description
#        123882       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	123882_00045	123882_00045_cd
USGS	50023110	2017-09-15 12:15	AST	0.00	P
USGS	50023110	2017-09-15 12:30	AST	0.00	P
USGS	50023110	2017-09-15 12:45	AST	0.00	P
USGS	50023110	2017-09-15 13:00	AST	0.00	P
USGS	50023110	2017-09-15 13:15	AST	0.00	P
USGS	50023110	2017-09-15 13:30	AST	0.00	P
USGS	50023110	2017-09-15 13:45	AST	0.02	P
USGS	50023110	2017-09-15 14:00	AST	0.00	P
USGS	50023110	2017-09-15 14:15	AST	0.00	P
USGS	50023110	2017-09-15 14:30	AST	0.00	P
USGS	50023110	2017-09-15 14:45	AST	0.00	P
USGS	50023110	2017-09-15 15:00	AST	0.00	P
USGS	50023110	2017-09-15 15:15	AST	0.00	P
USGS	50023110	2017-09-15 15:30	AST	0.00	P
USGS	50023110	2017-09-15 15:45	AST	0.00	P
USGS	50023110	2017-09-15 16:00	AST	0.00	P
USGS	50023110	2017-09-15 16:15	AST	0.00	P
USGS	50023110	2017-09-15 16:30	AST	0.00	P
USGS	50023110	2017-09-15 16:45	AST	0.00	P
USGS	50023110	2017-09-15 17:00	AST	0.00	P
USGS	50023110	2017-09-15 17:15	AST	0.00	P
USGS	50023110	2017-09-15 17:30	AST	0.00	P
USGS	50023110	2017-09-15 17:45	AST	0.00	P
USGS	50023110	2017-09-15 18:00	AST	0.00	P
USGS	50023110	2017-09-15 18:15	AST	0.00	P
USGS	50023110	2017-09-15 18:30	AST	0.00	P
USGS	50023110	2017-09-15 18:45	AST	0.00	P
USGS	50023110	2017-09-15 19:00	AST	0.00	P
USGS	50023110	2017-09-15 19:15	AST	0.00	P
USGS	50023110	2017-09-15 19:30	AST	0.00	P
USGS	50023110	2017-09-15 19:45	AST	0.00	P
USGS	50023110	2017-09-15 20:00	AST	0.00	P
USGS	50023110	2017-09-15 20:15	AST	0.00	P
USGS	50023110	2017-09-15 20:30	AST	0.00	P
USGS	50023110	2017-09-15 20:45	AST	0.00	P
USGS	50023110	2017-09-15 21:00	AST	0.00	P
USGS	50023110	2017-09-15 21:15	AST	0.00	P
USGS	50023110	2017-09-15 21:30	AST	0.00	P
USGS	50023110	2017-09-15 21:45	AST	0.00	P
USGS	50023110	2017-09-15 22:00	AST	0.00	P
USGS	50023110	2017-09-15 22:15	AST	0.00	P
USGS	50023110	2017-09-15 22:30	AST	0.00	P
USGS	50023110	2017-09-15 22:45	AST	0.00	P
USGS	50023110	2017-09-15 23:00	AST	0.00	P
USGS	50023110	2017-09-15 23:15	AST	0.00	P
USGS	50023110	2017-09-15 23:30	AST	0.00	P
USGS	50023110	2017-09-15 23:45	AST	0.00	P
USGS	50023110	2017-09-16 00:00	AST	0.00	P
USGS	50023110	2017-09-16 00:15	AST	0.00	P
USGS	50023110	2017-09-16 00:30	AST	0.00	P
USGS	50023110	2017-09-16 00:45	AST	0.00	P
USGS	50023110	2017-09-16 01:00	AST	0.00	P
USGS	50023110	2017-09-16 01:15	AST	0.00	P
USGS	50023110	2017-09-16 01:30	AST	0.00	P
USGS	50023110	2017-09-16 01:45	AST	0.00	P
USGS	50023110	2017-09-16 02:00	AST	0.00	P
USGS	50023110	2017-09-16 02:15	AST	0.00	P
USGS	50023110	2017-09-16 02:30	AST	0.00	P
USGS	50023110	2017-09-16 02:45	AST	0.00	P
USGS	50023110	2017-09-16 03:00	AST	0.00	P
USGS	50023110	2017-09-16 03:15	AST	0.00	P
USGS	50023110	2017-09-16 03:30	AST	0.00	P
USGS	50023110	2017-09-16 03:45	AST	0.00	P
USGS	50023110	2017-09-16 04:00	AST	0.00	P
USGS	50023110	2017-09-16 04:15	AST	0.00	P
USGS	50023110	2017-09-16 04:30	AST	0.00	P
USGS	50023110	2017-09-16 04:45	AST	0.00	P
USGS	50023110	2017-09-16 05:00	AST	0.00	P
USGS	50023110	2017-09-16 05:15	AST	0.00	P
USGS	50023110	2017-09-16 05:30	AST	0.00	P
USGS	50023110	2017-09-16 05:45	AST	0.00	P
USGS	50023110	2017-09-16 06:00	AST	0.00	P
USGS	50023110	2017-09-16 06:15	AST	0.00	P
USGS	50023110	2017-09-16 06:30	AST	0.00	P
USGS	50023110	2017-09-16 06:45	AST	0.00	P
USGS	50023110	2017-09-16 07:00	AST	0.00	P
USGS	50023110	2017-09-16 07:15	AST	0.00	P
USGS	50023110	2017-09-16 07:30	AST	0.00	P
USGS	50023110	2017-09-16 07:45	AST	0.00	P
USGS	50023110	2017-09-16 08:00	AST	0.00	P
USGS	50023110	2017-09-16 08:15	AST	0.00	P
USGS	50023110	2017-09-16 08:30	AST	0.00	P
USGS	50023110	2017-09-16 08:45	AST	0.00	P
USGS	50023110	2017-09-16 09:00	AST	0.00	P
USGS	50023110	2017-09-16 09:15	AST	0.00	P
USGS	50023110	2017-09-16 09:30	AST	0.00	P
USGS	50023110	2017-09-16 09:45	AST	0.00	P
USGS	50023110	2017-09-16 10:00	AST	0.00	P
USGS	50023110	2017-09-16 10:15	AST	0.00	P
USGS	50023110	2017-09-16 10:30	AST	0.00	P
USGS	50023110	2017-09-16 10:45	AST	0.00	P
USGS	50023110	2017-09-16 11:00	AST	0.00	P
USGS	50023110	2017-09-16 11:15	AST	0.00	P
USGS	50023110	2017-09-16 11:30	AST	0.00	P
USGS	50023110	2017-09-16 11:45	AST	0.00	P
USGS	50023110	2017-09-16 12:00	AST	0.00	P
USGS	50023110	2017-09-16 12:15	AST	0.00	P
USGS	50023110	2017-09-16 12:30	AST	0.00	P
USGS	50023110	2017-09-16 12:45	AST	0.00	P
USGS	50023110	2017-09-16 13:00	AST	0.00	P
USGS	50023110	2017-09-16 13:15	AST	0.00	P
USGS	50023110	2017-09-16 13:30	AST	0.00	P
USGS	50023110	2017-09-16 13:45	AST	0.00	P
USGS	50023110	2017-09-16 14:00	AST	0.00	P
USGS	50023110	2017-09-16 14:15	AST	0.00	P
USGS	50023110	2017-09-16 14:30	AST	0.00	P
USGS	50023110	2017-09-16 14:45	AST	0.00	P
USGS	50023110	2017-09-16 15:00	AST	0.00	P
USGS	50023110	2017-09-16 15:15	AST	0.00	P
USGS	50023110	2017-09-16 15:30	AST	0.00	P
USGS	50023110	2017-09-16 15:45	AST	0.00	P
USGS	50023110	2017-09-16 16:00	AST	0.00	P
USGS	50023110	2017-09-16 16:15	AST	0.00	P
USGS	50023110	2017-09-16 16:30	AST	0.00	P
USGS	50023110	2017-09-16 16:45	AST	0.00	P
USGS	50023110	2017-09-16 17:00	AST	0.00	P
USGS	50023110	2017-09-16 17:15	AST	0.00	P
USGS	50023110	2017-09-16 17:30	AST	0.00	P
USGS	50023110	2017-09-16 17:45	AST	0.00	P
USGS	50023110	2017-09-16 18:00	AST	0.00	P
USGS	50023110	2017-09-16 18:15	AST	0.00	P
USGS	50023110	2017-09-16 18:30	AST	0.00	P
USGS	50023110	2017-09-16 18:45	AST	0.00	P
USGS	50023110	2017-09-16 19:00	AST	0.00	P
USGS	50023110	2017-09-16 19:15	AST	0.00	P
USGS	50023110	2017-09-16 19:30	AST	0.00	P
USGS	50023110	2017-09-16 19:45	AST	0.00	P
USGS	50023110	2017-09-16 20:00	AST	0.00	P
USGS	50023110	2017-09-16 20:15	AST	0.00	P
USGS	50023110	2017-09-16 20:30	AST	0.00	P
USGS	50023110	2017-09-16 20:45	AST	0.00	P
USGS	50023110	2017-09-16 21:00	AST	0.00	P
USGS	50023110	2017-09-16 21:15	AST	0.00	P
USGS	50023110	2017-09-16 21:30	AST	0.00	P
USGS	50023110	2017-09-16 21:45	AST	0.00	P
USGS	50023110	2017-09-16 22:00	AST	0.00	P
USGS	50023110	2017-09-16 22:15	AST	0.00	P
USGS	50023110	2017-09-16 22:30	AST	0.00	P
USGS	50023110	2017-09-16 22:45	AST	0.00	P
USGS	50023110	2017-09-16 23:00	AST	0.00	P
USGS	50023110	2017-09-16 23:15	AST	0.00	P
USGS	50023110	2017-09-16 23:30	AST	0.00	P
USGS	50023110	2017-09-16 23:45	AST	0.00	P
USGS	50023110	2017-09-17 00:00	AST	0.00	P
USGS	50023110	2017-09-17 00:15	AST	0.00	P
USGS	50023110	2017-09-17 00:30	AST	0.00	P
USGS	50023110	2017-09-17 00:45	AST	0.00	P
USGS	50023110	2017-09-17 01:00	AST	0.00	P
USGS	50023110	2017-09-17 01:15	AST	0.00	P
USGS	50023110	2017-09-17 01:30	AST	0.00	P
USGS	50023110	2017-09-17 01:45	AST	0.00	P
USGS	50023110	2017-09-17 02:00	AST	0.00	P
USGS	50023110	2017-09-17 02:15	AST	0.00	P
USGS	50023110	2017-09-17 02:30	AST	0.00	P
USGS	50023110	2017-09-17 02:45	AST	0.00	P
USGS	50023110	2017-09-17 03:00	AST	0.00	P
USGS	50023110	2017-09-17 03:15	AST	0.00	P
USGS	50023110	2017-09-17 03:30	AST	0.00	P
USGS	50023110	2017-09-17 03:45	AST	0.00	P
USGS	50023110	2017-09-17 04:00	AST	0.00	P
USGS	50023110	2017-09-17 04:15	AST	0.00	P
USGS	50023110	2017-09-17 04:30	AST	0.00	P
USGS	50023110	2017-09-17 04:45	AST	0.00	P
USGS	50023110	2017-09-17 05:00	AST	0.00	P
USGS	50023110	2017-09-17 05:15	AST	0.00	P
USGS	50023110	2017-09-17 05:30	AST	0.00	P
USGS	50023110	2017-09-17 05:45	AST	0.00	P
USGS	50023110	2017-09-17 06:00	AST	0.00	P
USGS	50023110	2017-09-17 06:15	AST	0.00	P
USGS	50023110	2017-09-17 06:30	AST	0.00	P
USGS	50023110	2017-09-17 06:45	AST	0.00	P
USGS	50023110	2017-09-17 07:00	AST	0.00	P
USGS	50023110	2017-09-17 07:15	AST	0.00	P
USGS	50023110	2017-09-17 07:30	AST	0.00	P
USGS	50023110	2017-09-17 07:45	AST	0.00	P
USGS	50023110	2017-09-17 08:00	AST	0.00	P
USGS	50023110	2017-09-17 08:15	AST	0.00	P
USGS	50023110	2017-09-17 08:30	AST	0.00	P
USGS	50023110	2017-09-17 08:45	AST	0.00	P
USGS	50023110	2017-09-17 09:00	AST	0.00	P
USGS	50023110	2017-09-17 09:15	AST	0.00	P
USGS	50023110	2017-09-17 09:30	AST	0.00	P
USGS	50023110	2017-09-17 09:45	AST	0.00	P
USGS	50023110	2017-09-17 10:00	AST	0.00	P
USGS	50023110	2017-09-17 10:15	AST	0.00	P
USGS	50023110	2017-09-17 10:30	AST	0.00	P
USGS	50023110	2017-09-17 10:45	AST	0.00	P
USGS	50023110	2017-09-17 11:00	AST	0.00	P
USGS	50023110	2017-09-17 11:15	AST	0.00	P
USGS	50023110	2017-09-17 11:30	AST	0.00	P
USGS	50023110	2017-09-17 11:45	AST	0.00	P
USGS	50023110	2017-09-17 12:00	AST	0.00	P
USGS	50023110	2017-09-17 12:15	AST	0.00	P
USGS	50023110	2017-09-17 12:30	AST	0.00	P
USGS	50023110	2017-09-17 12:45	AST	0.00	P
USGS	50023110	2017-09-17 13:00	AST	0.00	P
USGS	50023110	2017-09-17 13:15	AST	0.00	P
USGS	50023110	2017-09-17 13:30	AST	0.00	P
USGS	50023110	2017-09-17 13:45	AST	0.00	P
USGS	50023110	2017-09-17 14:00	AST	0.00	P
USGS	50023110	2017-09-17 14:15	AST	0.00	P
USGS	50023110	2017-09-17 14:30	AST	0.00	P
USGS	50023110	2017-09-17 14:35	AST	0.00	P
USGS	50023110	2017-09-17 14:45	AST	0.16	P
USGS	50023110	2017-09-17 14:51	AST	0.00	P
USGS	50023110	2017-09-17 15:00	AST	0.02	P
USGS	50023110	2017-09-17 15:15	AST	0.00	P
USGS	50023110	2017-09-17 15:30	AST	0.00	P
USGS	50023110	2017-09-17 15:45	AST	0.00	P
USGS	50023110	2017-09-17 16:00	AST	0.00	P
USGS	50023110	2017-09-17 16:15	AST	0.00	P
USGS	50023110	2017-09-17 16:30	AST	0.00	P
USGS	50023110	2017-09-17 16:45	AST	0.00	P
USGS	50023110	2017-09-17 17:00	AST	0.00	P
USGS	50023110	2017-09-17 17:15	AST	0.00	P
USGS	50023110	2017-09-17 17:30	AST	0.00	P
USGS	50023110	2017-09-17 17:45	AST	0.00	P
USGS	50023110	2017-09-17 18:00	AST	0.00	P
USGS	50023110	2017-09-17 18:15	AST	0.00	P
USGS	50023110	2017-09-17 18:30	AST	0.00	P
USGS	50023110	2017-09-17 18:45	AST	0.00	P
USGS	50023110	2017-09-17 19:00	AST	0.00	P
USGS	50023110	2017-09-17 19:15	AST	0.00	P
USGS	50023110	2017-09-17 19:30	AST	0.00	P
USGS	50023110	2017-09-17 19:45	AST	0.00	P
USGS	50023110	2017-09-17 20:00	AST	0.00	P
USGS	50023110	2017-09-17 20:15	AST	0.00	P
USGS	50023110	2017-09-17 20:30	AST	0.00	P
USGS	50023110	2017-09-17 20:45	AST	0.00	P
USGS	50023110	2017-09-17 21:00	AST	0.00	P
USGS	50023110	2017-09-17 21:15	AST	0.00	P
USGS	50023110	2017-09-17 21:30	AST	0.00	P
USGS	50023110	2017-09-17 21:45	AST	0.00	P
USGS	50023110	2017-09-17 22:00	AST	0.00	P
USGS	50023110	2017-09-17 22:15	AST	0.00	P
USGS	50023110	2017-09-17 22:30	AST	0.00	P
USGS	50023110	2017-09-17 22:45	AST	0.00	P
USGS	50023110	2017-09-17 23:00	AST	0.00	P
USGS	50023110	2017-09-17 23:01	AST	0.00	P
USGS	50023110	2017-09-17 23:15	AST	0.00	P
USGS	50023110	2017-09-17 23:30	AST	0.00	P
USGS	50023110	2017-09-17 23:45	AST	0.00	P
USGS	50023110	2017-09-18 00:00	AST	0.00	P
USGS	50023110	2017-09-18 00:15	AST	0.00	P
USGS	50023110	2017-09-18 00:30	AST	0.00	P
USGS	50023110	2017-09-18 00:45	AST	0.00	P
USGS	50023110	2017-09-18 01:00	AST	0.00	P
USGS	50023110	2017-09-18 01:15	AST	0.00	P
USGS	50023110	2017-09-18 01:30	AST	0.00	P
USGS	50023110	2017-09-18 01:45	AST	0.00	P
USGS	50023110	2017-09-18 02:00	AST	0.00	P
USGS	50023110	2017-09-18 02:15	AST	0.00	P
USGS	50023110	2017-09-18 02:30	AST	0.00	P
USGS	50023110	2017-09-18 02:45	AST	0.00	P
USGS	50023110	2017-09-18 03:00	AST	0.00	P
USGS	50023110	2017-09-18 03:15	AST	0.00	P
USGS	50023110	2017-09-18 03:30	AST	0.00	P
USGS	50023110	2017-09-18 03:45	AST	0.00	P
USGS	50023110	2017-09-18 04:00	AST	0.00	P
USGS	50023110	2017-09-18 04:15	AST	0.00	P
USGS	50023110	2017-09-18 04:30	AST	0.00	P
USGS	50023110	2017-09-18 04:45	AST	0.00	P
USGS	50023110	2017-09-18 05:00	AST	0.00	P
USGS	50023110	2017-09-18 05:15	AST	0.00	P
USGS	50023110	2017-09-18 05:30	AST	0.00	P
USGS	50023110	2017-09-18 05:45	AST	0.00	P
USGS	50023110	2017-09-18 06:00	AST	0.00	P
USGS	50023110	2017-09-18 06:15	AST	0.00	P
USGS	50023110	2017-09-18 06:30	AST	0.00	P
USGS	50023110	2017-09-18 06:45	AST	0.00	P
USGS	50023110	2017-09-18 07:00	AST	0.00	P
USGS	50023110	2017-09-18 07:02	AST	0.00	P
USGS	50023110	2017-09-18 07:15	AST	0.00	P
USGS	50023110	2017-09-18 07:30	AST	0.00	P
USGS	50023110	2017-09-18 07:45	AST	0.00	P
USGS	50023110	2017-09-18 08:00	AST	0.00	P
USGS	50023110	2017-09-18 08:15	AST	0.00	P
USGS	50023110	2017-09-18 08:30	AST	0.00	P
USGS	50023110	2017-09-18 08:45	AST	0.00	P
USGS	50023110	2017-09-18 09:00	AST	0.00	P
USGS	50023110	2017-09-18 09:15	AST	0.00	P
USGS	50023110	2017-09-18 09:30	AST	0.00	P
USGS	50023110	2017-09-18 09:45	AST	0.00	P
USGS	50023110	2017-09-18 10:00	AST	0.00	P
USGS	50023110	2017-09-18 10:15	AST	0.00	P
USGS	50023110	2017-09-18 10:30	AST	0.00	P
USGS	50023110	2017-09-18 10:45	AST	0.00	P
USGS	50023110	2017-09-18 11:00	AST	0.00	P
USGS	50023110	2017-09-18 11:15	AST	0.00	P
USGS	50023110	2017-09-18 11:30	AST	0.00	P
USGS	50023110	2017-09-18 11:45	AST	0.00	P
USGS	50023110	2017-09-18 12:00	AST	0.00	P
USGS	50023110	2017-09-18 12:15	AST	0.00	P
USGS	50023110	2017-09-18 12:30	AST	0.00	P
USGS	50023110	2017-09-18 12:45	AST	0.00	P
USGS	50023110	2017-09-18 13:00	AST	0.00	P
USGS	50023110	2017-09-18 13:15	AST	0.00	P
USGS	50023110	2017-09-18 13:30	AST	0.00	P
USGS	50023110	2017-09-18 13:45	AST	0.00	P
USGS	50023110	2017-09-18 14:00	AST	0.00	P
USGS	50023110	2017-09-18 14:15	AST	0.00	P
USGS	50023110	2017-09-18 14:30	AST	0.00	P
USGS	50023110	2017-09-18 14:45	AST	0.00	P
USGS	50023110	2017-09-18 15:00	AST	0.00	P
USGS	50023110	2017-09-18 15:02	AST	0.00	P
USGS	50023110	2017-09-18 15:15	AST	0.00	P
USGS	50023110	2017-09-18 15:30	AST	0.00	P
USGS	50023110	2017-09-18 15:45	AST	0.00	P
USGS	50023110	2017-09-18 16:00	AST	0.00	P
USGS	50023110	2017-09-18 16:15	AST	0.00	P
USGS	50023110	2017-09-18 16:30	AST	0.00	P
USGS	50023110	2017-09-18 16:45	AST	0.00	P
USGS	50023110	2017-09-18 17:00	AST	0.00	P
USGS	50023110	2017-09-18 17:15	AST	0.00	P
USGS	50023110	2017-09-18 17:30	AST	0.00	P
USGS	50023110	2017-09-18 17:45	AST	0.00	P
USGS	50023110	2017-09-18 18:00	AST	0.00	P
USGS	50023110	2017-09-18 18:15	AST	0.00	P
USGS	50023110	2017-09-18 18:30	AST	0.00	P
USGS	50023110	2017-09-18 18:45	AST	0.00	P
USGS	50023110	2017-09-18 19:00	AST	0.00	P
USGS	50023110	2017-09-18 19:15	AST	0.00	P
USGS	50023110	2017-09-18 19:30	AST	0.00	P
USGS	50023110	2017-09-18 19:45	AST	0.00	P
USGS	50023110	2017-09-18 20:00	AST	0.00	P
USGS	50023110	2017-09-18 20:15	AST	0.00	P
USGS	50023110	2017-09-18 20:30	AST	0.00	P
USGS	50023110	2017-09-18 20:45	AST	0.00	P
USGS	50023110	2017-09-18 21:00	AST	0.00	P
USGS	50023110	2017-09-18 21:15	AST	0.00	P
USGS	50023110	2017-09-18 21:30	AST	0.00	P
USGS	50023110	2017-09-18 21:45	AST	0.00	P
USGS	50023110	2017-09-18 22:00	AST	0.00	P
USGS	50023110	2017-09-18 22:15	AST	0.00	P
USGS	50023110	2017-09-18 22:30	AST	0.00	P
USGS	50023110	2017-09-18 22:45	AST	0.00	P
USGS	50023110	2017-09-18 23:00	AST	0.00	P
USGS	50023110	2017-09-18 23:03	AST	0.00	P
USGS	50023110	2017-09-18 23:15	AST	0.00	P
USGS	50023110	2017-09-18 23:30	AST	0.00	P
USGS	50023110	2017-09-18 23:45	AST	0.00	P
USGS	50023110	2017-09-19 00:00	AST	0.00	P
USGS	50023110	2017-09-19 00:15	AST	0.00	P
USGS	50023110	2017-09-19 00:30	AST	0.00	P
USGS	50023110	2017-09-19 00:45	AST	0.00	P
USGS	50023110	2017-09-19 01:00	AST	0.00	P
USGS	50023110	2017-09-19 01:15	AST	0.00	P
USGS	50023110	2017-09-19 01:30	AST	0.00	P
USGS	50023110	2017-09-19 01:45	AST	0.01	P
USGS	50023110	2017-09-19 02:00	AST	0.00	P
USGS	50023110	2017-09-19 02:15	AST	0.00	P
USGS	50023110	2017-09-19 02:30	AST	0.00	P
USGS	50023110	2017-09-19 02:45	AST	0.00	P
USGS	50023110	2017-09-19 03:00	AST	0.00	P
USGS	50023110	2017-09-19 03:15	AST	0.00	P
USGS	50023110	2017-09-19 03:30	AST	0.00	P
USGS	50023110	2017-09-19 03:45	AST	0.00	P
USGS	50023110	2017-09-19 04:00	AST	0.00	P
USGS	50023110	2017-09-19 04:15	AST	0.00	P
USGS	50023110	2017-09-19 04:30	AST	0.00	P
USGS	50023110	2017-09-19 04:45	AST	0.00	P
USGS	50023110	2017-09-19 05:00	AST	0.00	P
USGS	50023110	2017-09-19 05:15	AST	0.00	P
USGS	50023110	2017-09-19 05:30	AST	0.00	P
USGS	50023110	2017-09-19 05:45	AST	0.00	P
USGS	50023110	2017-09-19 06:00	AST	0.00	P
USGS	50023110	2017-09-19 06:15	AST	0.00	P
USGS	50023110	2017-09-19 06:30	AST	0.00	P
USGS	50023110	2017-09-19 06:45	AST	0.00	P
USGS	50023110	2017-09-19 07:00	AST	0.00	P
USGS	50023110	2017-09-19 07:03	AST	0.00	P
USGS	50023110	2017-09-19 07:15	AST	0.00	P
USGS	50023110	2017-09-19 07:30	AST	0.00	P
USGS	50023110	2017-09-19 07:45	AST	0.00	P
USGS	50023110	2017-09-19 08:00	AST	0.00	P
USGS	50023110	2017-09-19 08:15	AST	0.00	P
USGS	50023110	2017-09-19 08:30	AST	0.00	P
USGS	50023110	2017-09-19 08:45	AST	0.00	P
USGS	50023110	2017-09-19 09:00	AST	0.00	P
USGS	50023110	2017-09-19 09:15	AST	0.00	P
USGS	50023110	2017-09-19 09:30	AST	0.00	P
USGS	50023110	2017-09-19 09:45	AST	0.00	P
USGS	50023110	2017-09-19 10:00	AST	0.00	P
USGS	50023110	2017-09-19 10:15	AST	0.00	P
USGS	50023110	2017-09-19 10:30	AST	0.00	P
USGS	50023110	2017-09-19 10:45	AST	0.00	P
USGS	50023110	2017-09-19 11:00	AST	0.00	P
USGS	50023110	2017-09-19 11:15	AST	0.00	P
USGS	50023110	2017-09-19 11:30	AST	0.02	P
USGS	50023110	2017-09-19 11:45	AST	0.00	P
USGS	50023110	2017-09-19 12:00	AST	0.00	P
USGS	50023110	2017-09-19 12:15	AST	0.00	P
USGS	50023110	2017-09-19 12:30	AST	0.00	P
USGS	50023110	2017-09-19 12:45	AST	0.00	P
USGS	50023110	2017-09-19 13:00	AST	0.00	P
USGS	50023110	2017-09-19 13:15	AST	0.04	P
USGS	50023110	2017-09-19 13:30	AST	0.01	P
USGS	50023110	2017-09-19 13:45	AST	0.01	P
USGS	50023110	2017-09-19 14:00	AST	0.15	P
USGS	50023110	2017-09-19 14:01	AST	0.00	P
USGS	50023110	2017-09-19 14:15	AST	0.02	P
USGS	50023110	2017-09-19 14:30	AST	0.00	P
USGS	50023110	2017-09-19 14:45	AST	0.00	P
USGS	50023110	2017-09-19 15:00	AST	0.00	P
USGS	50023110	2017-09-19 15:15	AST	0.00	P
USGS	50023110	2017-09-19 15:30	AST	0.00	P
USGS	50023110	2017-09-19 15:45	AST	0.00	P
USGS	50023110	2017-09-19 16:00	AST	0.00	P
USGS	50023110	2017-09-19 16:15	AST	0.00	P
USGS	50023110	2017-09-19 16:30	AST	0.00	P
USGS	50023110	2017-09-19 16:45	AST	0.00	P
USGS	50023110	2017-09-19 17:00	AST	0.02	P
USGS	50023110	2017-09-19 17:15	AST	0.00	P
USGS	50023110	2017-09-19 17:30	AST	0.08	P
USGS	50023110	2017-09-19 17:45	AST	0.00	P
